source_page,serial_number,name,identification,delivery,assignment,off_inventory,circumstances
26,42-6219,PETROL PACIGN' MAMA,SOLGRNRUD,12/7/1943,462BG,5/3111946,Class 01 Z Roswell
26,42-6220,,DIAM#,12/13/1943,444BG,6/15/1944,"Crashed Kiangyu, China on photo mission"
26,42-6221,,2RUDSTRP,12/13/1943,468BG,11/21/1944,"Surveyed Clovis, engine failure"
26,42-6222,DEUCES WILD,FOURYLWSTRP,12/30/1943,40BG,911111944,"Crashed at B-4, no fuel. Surveyed"
26,42-6223,LADY BOOMERANG,SOLBLURUD B 3,12/16/1943,462BG,8/25/1944,"Surveyed, crash landed B-6, no fuel"
26,42-6224,ANNIE,224,11115/1943,468BG,4/30/1946,Reclaimed Davis-Monthan
26,42-6225,DING HOW,DIAM#,12/16/1943,444BG,11/111948,Reclaimed
26,42-6226,,SOLRUD,1115/1943,462BG,6/20/1944,Caught fire and was destroyed
26,42-6227,,,111111943,462BG,1111711943,Class 26 Victoria Kansas
26,42-6228,,DIAM#,1114/1943,444BG,8/2/1944,"Crashed, burned near Syhlet, China"
26,42-6229,,2BLURUDSTRP,2/24/1944,468BG,6/15/1944,Crashed on takeoff to Yawata
26,42-6230,LIMBER DUGAN,2WHTRUDSTRP,2/19/1944,468BG,6/15/1944,Shot down over Yawata
26,42-6231,,2REDRUDSTRP,1126/1944,468BG,6/16/1944,Hit mountain returning from Yawata
26,42-6232,KICKAPOO II,2WHTRUDSTRP,1126/1944,468BG,12/21/1949,Reclaimed Pyote
26,42-6233,,,2/20/1944,4141BU,12/21/1949,Reclaimed Pyote
26,42-6234,,DIAM#,12/19/1943,444BG,9/8/1944,Crashed China from Anshan
26,42-6235,,2YLWRUDSTRP,112/1944,468BG,6/26/1944,Surveyed CBI-Gear came up taxiing
26,42-6236,,,4/6/1944,4136BU,5/24/1949,Reclaimed Tinker
26,42-6237,SIR TROFREPUS,FOURREDSTRP,12/23/1943,40BG,11112/1944,Flak damage at Nanking
26,42-6238,,2WHTRUDSTRP,1118/1943,468BG,10/111944,"Crashed, burned Omei, China on Hump msn"
26,42-6239,,,11112/1943,468BG,5/26/1944,Surveyed Smoky Hill
26,42-6240,HAP'S HOPE,FOURBLKSTRP,1116/1943,40BG,7/30/1944,Crashed in weather on Hump mission
26,42-6241,HUMP HAPPY MAMMY,FOURBLUSTRP,1114/1943,40BG,12/21/1949,Reclaimed Pyote
26,42-6241,MALFUNCTION JUNCTION,FOURBLUSTRP,1114/1943,40BG,12/21/1949,Reclaimed Pyote
26,42-6241,YELLOW ROSE OF TEXAS,FOURBLUSTRP,1114/1943,40BG,12/21/1949,Reclaimed Pyote
26,42-6242,ESSO EXPRESS,2YLWRUDSTRP,1113/1943,468BG,71711946,Reclaimed Lowry
26,42-6243,RODGER THE LODGER,2WHTRUDSTRP,113111944,468BG,8/11/1944,"Abandoned, crashed H waning, China"
26,42-6244,,,11119/1943,462BG,2/3/1944,Surveyed Amarillo
26,42-6245,,,31111944,498BG,6/7/1944,"Surveyed Wichita, crashed on takeoff"
26,42-6246,,DIAM#,11115/1943,444BG,6/28/1944,#1 & #3 engine failures over Hump
26,42-6247,,FOURREDSTRP,1111111943,40BG,4/19/1944,Crashed Cairo en route to India
26,42-6248,GREEN DRAGON,SOLREDRUD,11112/1943,462BG,12/21/1949,Reclaimed Pyote
26,42-6249,,FOURREDSTRP,1111111943,40BG,4/19/1944,Crashed on TIO from Cairo en route CBI
26,42-6250,BOMBIN' BUGGY,FOURBLUSTRP,11118/1943,40BG,12/21/1949,Reclaimed Pyote
26,42-6251,OLE BATTLER,DIAM#72,11117/1943,444BG,12/21/1949,Reclaimed Pyote
26,42-6252,RAGGED BUT RIGHT,SOLBLURUD,11119/1943,462BG,12/21/1949,Reclaimed Pyote
26,42-6253,WINDY CITY,2YLWRUDSTRP,11128/1943,468BG,10/11/1944,"Surveyed, bellied in from Yawata"
26,42-6254,HUMP HAPPY PAPPY,FOURYLWSTRP,12/6/1943,40BG,12/21/1949,Reclaimed Pyote
26,42-6255,,2WHTRUDSTRP,12/13/1943,468BG,4/19/1944,Abandoned enroute A-7 from India
26,42-6256,RAMP TRAMP,SOLBLURUD,11128/1943,462BG,712911944,Interned Vladivostok
26,42-6257,DUMBO,DIAM#,11128/1943,444BG,12/21/1949,Reclaimed Pyote
26,42-6258,,DIAM#,11130/1943,444BG,8/2111945,Reclaimed Roswell
26,42-6259,,SOLRUD,11130/1943,462BG,5/11/1948,Reclaimed Fort Worth
26,42-6260,,,12/1111943,2132BU,12/21/1949,Reclaimed Pyote
26,42-6261,STOCKETT'S ROCKET,FOURYLWSTRP,12/13/1943,40BG,6/14/1944,Crashed Hump 1st leg 2nd combat mission
26,42-6262,ROUND TRIP TICKET,DIAM #EE,12/7/1943,444BG,12/7/1944,Missing on Hump
26,42-6263,SIR TROFREPUS,SOLRUD,12/7/1943,462BG,7/8/1944,Ditched from Sasebo
26,42-6264,O'REILLY'S DAUGHTER,2WHTRUDSTRP,12/16/1943,468BG,8/2111944,Crashed Occupied China from Yawata
26,42-6265,RAIDEN MAIDEN,2BLURUDSTRP,12/10/1943,468BG,612711949,Reclaimed Davis-Monthan
26,42-6266,TARFU,SOLREDRUD,12/2111943,462BG,71211946,Reclaimed Roswell
26,42-6267,WINNIE,DIAM#80,12/19/1943,444BG,12/21/1949,Reclaimed Pyote
26,42-6268,GOOD HUMPIN',FOURBLUSTRP D,12/19/1943,40BG,9/18/1944,"Surveyed B-4; local flt, 2 eng on fire"
26,42-6269,SMOKEY STOVER,FOURREDSTRP C-E,12/2111943,40BG,12/21/1949,Reclaimed Pyote
26,42-6270,CASE ACE,SOLGRNRUD K7,12/18/1943,462BG,12/21/1949,Reclaimed Pyote
26,42-6271,,2WHTRUDSTRP,12/19/1943,468BG,6/7/1944,Abandoned enroute to A-7
26,42-6272,MISS MINETTE,2YLWRUDSTRP,12/18/1943,468BG,12/21/1949,Reclaimed
26,42-6272,THE OLD CAMPAIGNER,2YLWRUDSTRP,12/18/1943,468BG,12/21/1949,Reclaimed
26,42-6273,OLD-BITCH-U-AIRY BESS,SOLYLWRUD,12/23/1943,462BG,12/21/1949,Reclaimed Pyote
26,42-6274,LADY HAMILTON,2YLWRUDSTRP,12/20/1943,468BG,712911944,Crashed Occupied China from Anshan
26,42-6275,SNAFUPER BOMBER,FOURYLWSTRP,12/23/1943,40BG,11123/1944,Crew abandoned 20 miles north of A-1
26,42-6276,BLACK MAGIC,FOURBLKSTRP A,12/3111943,40BG,12/19/1944,Crew abandoned over Hump-out of fuel
26,42-6276,OLD CRACKER KEG,FOURBLKSTRP A,12/3111943,40BG,12/19/1944,Crew abandoned over Hump-out of fuel
26,42-6277,SHANGHAI LIL,DIAM#24,12/30/1943,444BG,91711944,Crash landed Dudhkundi
26,42-6278,,SOLBLURUD,12/3111943,462BG,11/21/1944,Crashed in sea from 0 mura
26,42-6279,POSTVILLE EXPRESS,2WHTRUDSTRP,12/29/1943,468BG,12/21/1949,Reclaimed
